2012,Journalist,6/18/12,Media,Parmy Olson
2014,Author,6/19/14,Media,Hamid Al-Bayati
2005,Writer,9/13/05,Media,Kurt Vonnegut
2011,Singer-Songwriter,11/30/11,Musician,Bono
2015,Ice hockey coach,3/4/15,Athletics,Viacheslav Fetisov
2011,United States Senator,1/4/11,Politician,Kirsten Gillibrand
2004,Journalist,6/2/04,Media,Thomas Friedman
2006,Comedian,12/13/06,Comedy,Ricky Gervais
2006,Commentator,12/19/06,Media,Bill Kristol
2009,Former Governor of Arkansas,6/18/09,Politician,Mike Huckabee
2002,Journalist,7/9/02,Media,John King
1999,Actress,12/1/99,Acting,Laura San Giacomo
2008,Television Personality,1/10/08,Media,Lou Dobbs
2007,Surgeon,3/6/07,Science,Richard Jadick
2014,Actor,3/26/14,Acting,Jude Law
2014,Consultant,1/14/14,Political Aide,Tim Gunn
2001,Sportscaster,4/10/01,Media,Bob Costas
2014,Rock band,10/30/14,Musician,Spoon
2008,Journalist,2/6/08,Media,Tom Brokaw
2002,News Anchor,11/6/02,Media,Candy Crowley
1999,Actor,5/20/99,Acting,Ray Romano
2005,Sportscaster,7/27/05,Media,Bob Costas
2008,Journalist,8/11/08,Media,Ron Suskind
2009,Biographer,4/29/09,Media,Doris Kearns Goodwin
1999,Comedian,9/13/99,Comedy,Elayne Boosler
2011,Writer,4/28/11,Media,William Cohan
2003,Actress,12/15/03,Acting,Maggie Gyllenhaal
2013,Columnist,10/23/13,Media,Charles Krauthammer
2005,US senator,9/29/05,Politician,Sen. Chuck Schumer
2011,Professor,6/22/11,Academic,Mitchell Zuckoff
2013,Journalist,10/22/13,Media,Malcolm Gladwell
2009,Author,10/14/09,Media,Barbara Ehrenreich
2008,Actor,7/15/08,Acting,Pierce Brosnan
2001,Columnist,3/26/01,Media,Richard Roeper
2001,Film Actor,5/30/01,Acting,Bradley Whitford
2005,Actor,5/4/05,Acting,Martin Short
2013,Humorist,5/9/13,Media,David Sedaris
2001,Actor,6/18/01,Acting,Martin Short
1999,Actress,5/19/99,Acting,Camryn Manheim
2004,Journalist,2/9/04,Media,Charles Lewis
2003,Actor,3/13/03,Acting,Tom Cavanagh
2002,NA,10/14/02,NA,Road to Washington Special
2013,Actress,7/24/13,Acting,Shailene Woodley
