edition,athlete,noc,gender,event,medal,season
1900,"HALMAY, Zoltan",HUN,Men,1500m freestyle,Bronze,Summer
1900,"JARVIS, John Arthur",GBR,Men,1500m freestyle,Gold,Summer
1900,"WAHLE, Otto",AUT,Men,1500m freestyle,Silver,Summer
1900,"DROST, Johannes",NED,Men,200m backstroke,Bronze,Summer
1900,"HOPPENBERG, Ernst",GER,Men,200m backstroke,Gold,Summer
1900,"RUBERL, Karl",AUT,Men,200m backstroke,Silver,Summer
1900,"HALMAY, Zoltan",HUN,Men,200m freestyle,Silver,Summer
1900,"RUBERL, Karl",AUT,Men,200m freestyle,Bronze,Summer
1900,"LANE, Frederick C.V.",AUS,Men,200m freestyle,Gold,Summer
1900,"KEMP, Peter",GBR,Men,200m obstacle event,Bronze,Summer
1900,"WAHLE, Otto",AUT,Men,200m obstacle event,Silver,Summer
1900,"LANE, Frederick C.V.",AUS,Men,200m obstacle event,Gold,Summer
1900,"FREY, Julius",GER,Men,200m team swimming,Gold,Summer
1900,"HAINLE, Max",GER,Men,200m team swimming,Gold,Summer
1900,"HOPPENBERG, Ernst",GER,Men,200m team swimming,Gold,Summer
1900,"SCHNE, Max",GER,Men,200m team swimming,Gold,Summer
1900,"VON PETERSDORFF, Herbert",GER,Men,200m team swimming,Gold,Summer
1900,BERTRAND,FRA,Men,200m team swimming,Silver,Summer
1900,CADET,FRA,Men,200m team swimming,Silver,Summer
1900,"HOCHEPIED, Maurice",FRA,Men,200m team swimming,Silver,Summer
1900,"HOCHEPIED, Victor",FRA,Men,200m team swimming,Silver,Summer
1900,VERBECKE,FRA,Men,200m team swimming,Silver,Summer
1900,HOUBEN,FRA,Men,200m team swimming,Bronze,Summer
1900,"LEUILLIEUX, Jean",FRA,Men,200m team swimming,Bronze,Summer
1900,"MARTIN, Louis",FRA,Men,200m team swimming,Bronze,Summer
1900,"MERCHEZ, Dsir",FRA,Men,200m team swimming,Bronze,Summer
1900,TARTARA,FRA,Men,200m team swimming,Bronze,Summer
1900,"HALMAY, Zoltan",HUN,Men,4000m freestyle,Silver,Summer
